,precision,recall,f1-score,support
10,0.0,0.0,0.0,1.0
20,0.0,0.0,0.0,4.0
28,0.0,0.0,0.0,1.0
30,0.0,0.0,0.0,6.0
35,0.0,0.0,0.0,1.0
40,0.0,0.0,0.0,22.0
45,0.0,0.0,0.0,5.0
48,0.0,0.0,0.0,1.0
50,0.0,0.0,0.0,35.0
55,0.0,0.0,0.0,6.0
58,0.0,0.0,0.0,5.0
60,0.0,0.0,0.0,117.0
62,0.0,0.0,0.0,1.0
63,0.0,0.0,0.0,1.0
65,0.0,0.0,0.0,25.0
67,0.0,0.0,0.0,3.0
68,0.0,0.0,0.0,4.0
69,0.0,0.0,0.0,1.0
70,0.24561403508771928,0.08045977011494253,0.1212121212121212,174.0
71,0.0,0.0,0.0,3.0
72,0.0,0.0,0.0,3.0
73,0.0,0.0,0.0,4.0
74,0.0,0.0,0.0,6.0
75,0.0,0.0,0.0,68.0
76,0.0,0.0,0.0,5.0
77,0.0,0.0,0.0,7.0
78,0.0,0.0,0.0,17.0
79,0.0,0.0,0.0,5.0
80,0.22784810126582278,0.8653846153846154,0.36072144288577157,208.0
81,0.0,0.0,0.0,4.0
82,0.0,0.0,0.0,9.0
83,0.0,0.0,0.0,9.0
84,0.0,0.0,0.0,9.0
85,0.0,0.0,0.0,54.0
86,0.0,0.0,0.0,6.0
87,0.0,0.0,0.0,8.0
88,0.0,0.0,0.0,5.0
89,0.0,0.0,0.0,3.0
90,0.0958904109589041,0.12727272727272726,0.10937499999999999,55.0
91,0.0,0.0,0.0,3.0
92,0.0,0.0,0.0,1.0
94,0.0,0.0,0.0,2.0
95,0.0,0.0,0.0,3.0
96,0.0,0.0,0.0,1.0
97,0.0,0.0,0.0,1.0
100,0.0,0.0,0.0,9.0
accuracy,0.2182410423452769,0.2182410423452769,0.2182410423452769,0.2182410423452769
macro avg,0.012377229289401003,0.023328632886354027,0.012854534002128104,921.0
weighted avg,0.10358655784071012,0.2182410423452769,0.11089749642904406,921.0
