,precision,recall,f1-score,support
10,0.0,0.0,0.0,1.0
20,0.0,0.0,0.0,4.0
28,0.0,0.0,0.0,1.0
30,0.0,0.0,0.0,6.0
35,0.0,0.0,0.0,1.0
40,0.0,0.0,0.0,22.0
45,0.0,0.0,0.0,5.0
48,0.0,0.0,0.0,1.0
50,0.0,0.0,0.0,35.0
55,0.0,0.0,0.0,6.0
58,0.0,0.0,0.0,5.0
60,0.4666666666666667,0.05982905982905983,0.10606060606060606,117.0
62,0.0,0.0,0.0,1.0
63,0.0,0.0,0.0,1.0
65,0.0,0.0,0.0,25.0
67,0.0,0.0,0.0,3.0
68,0.0,0.0,0.0,4.0
69,0.0,0.0,0.0,1.0
70,0.2,0.16091954022988506,0.178343949044586,174.0
71,0.0,0.0,0.0,3.0
72,0.0,0.0,0.0,3.0
73,0.0,0.0,0.0,4.0
74,0.0,0.0,0.0,6.0
75,0.06666666666666667,0.014705882352941176,0.024096385542168672,68.0
76,0.0,0.0,0.0,5.0
77,0.0,0.0,0.0,7.0
78,0.0,0.0,0.0,17.0
79,0.0,0.0,0.0,5.0
80,0.21642969984202212,0.6586538461538461,0.32580261593341264,208.0
81,0.0,0.0,0.0,4.0
82,0.0,0.0,0.0,9.0
83,0.0,0.0,0.0,9.0
84,0.0,0.0,0.0,9.0
85,0.1111111111111111,0.018518518518518517,0.031746031746031744,54.0
86,0.0,0.0,0.0,6.0
87,0.0,0.0,0.0,8.0
88,0.0,0.0,0.0,5.0
89,0.0,0.0,0.0,3.0
90,0.08411214953271028,0.16363636363636364,0.11111111111111109,55.0
91,0.0,0.0,0.0,3.0
92,0.0,0.0,0.0,1.0
94,0.0,0.0,0.0,2.0
95,0.0,0.0,0.0,3.0
96,0.0,0.0,0.0,1.0
97,0.0,0.0,0.0,1.0
100,0.0,0.0,0.0,9.0
accuracy,0.1986970684039088,0.1986970684039088,0.1986970684039088,0.1986970684039088
macro avg,0.024891006387373408,0.023397026320013354,0.016894797813867747,921.0
weighted avg,0.16240703488031813,0.1986970684039088,0.1310226201946395,921.0
